name,state,population,breast,colorectal,prostate,lung,melanoma,poverty,income,region,black_alone,white_alone,asian_alone,lat,lon
nevada,ca,98639,130.8,31.8,116.7,47.3,30.1,12.8,55246,pacific,0.5018299050071473,92.22822615801053,1.2986749662912236,39.30137,-120.768752
orange,ca,3132211,123.4,35.8,114.3,44.1,25.7,13.5,73827,pacific,1.6448125621166645,63.04648697038609,19.220065314884597,33.676913,-117.776146
placer,ca,370571,140.7,36.5,129.9,49.6,35.7,8.3,73643,pacific,1.4769099578758187,83.22669609872332,6.709105677454523,39.063427,-120.717652
plumas,ca,18754,107.7,34.2,115.4,44.2,26.5,15.7,47645,pacific,0.1386370907539725,89.58088941025915,0.9118054814972806,40.004682,-120.838598
riverside,ca,2323892,115.3,39.4,120,47.2,22,17.4,53909,pacific,6.240608427586135,63.268602843849884,6.156353221234033,33.74368,-115.993846
sacramento,ca,1479300,132.5,41.9,122.7,56.9,20.6,18.9,52980,pacific,9.900899073886297,59.24998310011492,15.158182924356115,38.449315,-121.344243
san benito,ca,58051,113.2,33.8,157.5,40.2,18.4,12.7,66780,pacific,0.7579542126750616,83.82629067544056,2.6132194105183375,36.605706,-121.074996
san bernardino,ca,2106754,114,43,130.2,49.5,16.8,19.2,52112,pacific,8.578742463524454,62.018726438872314,6.755985748692064,34.841438,-116.178462
san diego,ca,3253356,128.3,37.2,115.8,49,26.9,15.3,61365,pacific,5.038735385860017,71.00501758799221,11.569376360902403,33.028203,-116.770207
san francisco,ca,850282,121.6,40.4,105.1,49,19.2,13.8,76933,pacific,5.363749908853769,48.14343947066973,33.85312167022235,37.759715,-122.693976
san joaquin,ca,714860,112.3,39.1,130.6,56.8,14.8,19.8,51219,pacific,6.976750692443275,56.37691296197857,14.899560753154464,37.934777,-121.271447
san luis obispo,ca,278680,138.2,35,114.2,46.9,44.2,15,57743,pacific,1.9793311324816993,85.45464331850151,3.722907994832783,35.387418,-120.452197
san mateo,ca,754748,135.9,36.6,129.7,45.3,24.1,8,91061,pacific,2.4555215780631414,53.58887999703212,27.019084515626407,37.43621,-122.355663
santa barbara,ca,439395,129.5,34.5,111,42.1,33.4,16.2,60803,pacific,2.020505467745423,74.11645558096929,5.3123044185755415,35.014583,-119.884478
santa clara,ca,1885056,119.6,36.6,131.9,41.1,20.7,10.5,91843,pacific,2.5465025972703197,46.883222567393226,34.37812988049161,37.232484,-121.696278
santa cruz,ca,270931,136,31.3,141.2,37.6,34.2,14.9,65282,pacific,0.8762378613004788,79.32979245638188,4.491549508915554,37.021606,-122.009787
shasta,ca,179228,134.3,37.1,122.8,62.5,39,19.7,41236,pacific,0.9814314727609526,87.0087263150847,2.942062624143549,40.763767,-122.040522
siskiyou,ca,43668,107.9,33.9,109.6,60.5,21,20.4,37108,pacific,1.6236145461207292,85.54318952093065,1.5915544563524777,41.59265,-122.540374
solano,ca,429596,131.1,40.5,141.4,58.1,21.5,12.9,63398,pacific,14.133278708367861,52.880613413532714,15.233847614968482,38.266919,-121.940007
sonoma,ca,497776,132.3,40.3,112.9,49.5,38.2,12.4,61020,pacific,1.5766127736170485,76.06594130693324,3.9015541126932596,38.525293,-122.922545
stanislaus,ca,530561,117.9,42.8,104.8,57.4,20.8,21.8,47808,pacific,2.7338986469039375,74.6498517606835,5.421431277459142,37.559145,-120.997685
sutter,ca,95406,117.8,31.7,99.9,56.3,23,17.2,47903,pacific,1.9506110726788672,70.98190889461878,15.049367964278977,39.034523,-121.694842
tehama,ca,63015,117.2,40.6,119.4,65.2,31.7,17.9,43459,pacific,0.625247956835674,86.53495199555661,1.401253669761168,40.125736,-122.233885
